date,open,high,low,close,volume,ticker
2021-03-09,117.94110870361328,118.88588550494669,115.70092356585985,115.93468039958287,129525800,AAPL
2021-03-10,116.85999298095703,118.99303824849771,116.34376908141869,118.52552453136408,111943300,AAPL
2021-03-11,118.78849792480469,120.00599237807343,118.10670400337277,119.35341713456053,103026500,AAPL
2021-03-12,117.88267517089844,118.01903394756955,116.06130832636462,117.26906067587845,88105100,AAPL
2021-03-15,120.76570892333984,120.77545095974142,117.28854502762586,118.25280599447676,92403800,AAPL
2021-03-16,122.30463409423828,123.9117284110974,121.47673927373422,122.4312508542222,115227900,AAPL
2021-03-17,121.51570129394531,122.58709503966791,119.15862613615897,120.82416526324258,111932600,AAPL
2021-03-18,117.39566802978516,119.97675740638225,117.19112988113343,119.68455580488242,121229700,AAPL
2021-03-19,116.86972045898438,118.27227638684158,116.56778422545804,116.78206442899135,185549500,AAPL
2021-03-22,120.18128967285156,120.64881072616973,117.1326868002608,117.20086617980772,111912300,AAPL
2021-03-23,119.35342407226562,121.0092136525593,118.96382433837393,120.12288150317761,95467100,AAPL
2021-03-24,116.96710968017578,119.7040419397164,116.94763304087101,119.62612052050626,88530500,AAPL
2021-03-25,117.4541244506836,118.49630686413842,115.9054750318424,116.43143354135354,98844700,AAPL
2021-03-26,118.05801391601562,118.32099690748782,115.82756294666447,117.22037704784019,94071200,AAPL
2021-03-29,118.23332977294922,119.39238695881983,117.59049651669116,118.48657071923124,80819200,AAPL
2021-03-30,116.78206634521484,117.26906411360106,115.76911009525196,116.98660451621751,85671900,AAPL
2021-03-31,118.97357177734375,120.3079410804402,117.9995761138878,118.48657394561577,118323800,AAPL
2021-04-01,119.80145263671875,120.95076768283118,119.30471282559485,120.44429326652572,75089100,AAPL
2021-04-05,122.62603759765625,122.87927851383142,119.86962848939254,120.64882787870255,88651200,AAPL
2021-04-06,122.92797088623047,123.82404496077191,122.38253578537845,123.21043047231339,80171300,AAPL
2021-04-07,124.57403564453125,124.59351228641088,121.88580577435263,122.55786509964642,83466700,AAPL
2021-04-08,126.9700698852539,126.99928856495599,125.17792150755567,125.59673249128127,88844600,AAPL
2021-04-09,129.5414276123047,129.58038090088027,126.10322399320837,126.4246443564377,106686700,AAPL
2021-04-12,127.82720184326172,129.3953355248616,127.2330638679476,129.0739151583479,91420000,AAPL
2021-04-13,130.9342041015625,131.15823376064404,128.49921542278324,128.99596262492872,91266500,AAPL
2021-04-14,128.5966796875,131.48944874893647,128.2363059541757,131.43101137185664,87222800,AAPL
2021-04-15,131.00242614746094,131.48942401418012,130.16478922222413,130.34011618248067,89347100,AAPL
2021-04-16,130.67129516601562,131.16802773098817,129.81417400731962,130.80765399926287,84922400,AAPL
2021-04-19,131.3335418701172,131.94716375459052,129.87254870669761,130.03812614844625,94264200,AAPL
2021-04-20,129.64854431152344,132.00561168739057,128.3823471626382,131.50887932231677,94812300,AAPL
2021-04-21,130.0283966064453,130.27189547649485,127.88560952240783,128.91804235349915,68847100,AAPL
2021-04-22,128.50897216796875,130.66149395921403,127.99275572778816,129.58035833012048,84566500,AAPL
2021-04-23,130.82708740234375,131.60627194079382,128.72325347974677,128.72325347974677,78657500,AAPL
2021-04-26,131.21669006347656,131.5478450047434,130.08685158645528,131.32383017529745,66905100,AAPL
2021-04-27,130.8952178955078,131.8886971878993,130.62250042104546,131.49909018010476,66015800,AAPL
2021-04-28,130.10630798339844,131.50886374451756,129.61931028089822,130.81732046769145,107760100,AAPL
2021-04-29,130.00892639160156,133.50558183329358,129.00571212903608,132.92117853809344,151101000,AAPL
2021-04-30,128.04144287109375,130.08682431063778,127.66158525646483,128.3531136734093,109839500,AAPL
2021-05-03,129.0933380126953,130.5835645811877,128.40180963228673,128.6063403344398,75135100,AAPL
2021-05-04,124.52533721923828,128.070688075214,123.40524078183631,127.77848641989287,137564700,AAPL
2021-05-05,124.76882934570312,127.05770985077288,124.64220517501703,125.84021547722773,84000900,AAPL
2021-05-06,126.3661880493164,126.37592265450229,123.82405163749547,124.56429033642047,78128300,AAPL
2021-05-07,127.03939819335938,128.06381882504127,126.3271629457147,127.66381362314827,78973300,AAPL
2021-05-10,123.76119232177734,126.38568557584613,123.72216543128324,126.25886120807223,88071200,AAPL
2021-05-11,122.84408569335938,123.19531281841267,119.78053807914273,120.4927657999539,126142800,AAPL
2021-05-12,119.78056335449219,121.60503177987839,119.27322856136661,120.39522770117908,112172300,AAPL
2021-05-13,121.92698669433594,123.07825403932372,121.23427605914434,121.54648377421124,105861300,AAPL
2021-05-14,124.3465805053711,124.7758688561986,122.78554210729591,123.17580356771927,81918000,AAPL
2021-05-17,123.19532775878906,123.83926036065176,122.12211419930365,123.73193826034131,74244600,AAPL
2021-05-18,121.80989837646484,123.8977887358132,121.74160317568686,123.47825894714309,63342900,AAPL
2021-05-19,121.65381622314453,121.87821158301546,119.86837471152245,120.16107272588073,92612000,AAPL
2021-05-20,124.2099838256836,124.61000384937135,122.05379848438088,122.18063773268084,76857100,AAPL
2021-05-21,122.37577056884766,124.88319058200729,122.16112639405591,124.70757329750661,79295400,AAPL
2021-05-24,124.0051040649414,124.82465387319235,122.87335402183648,122.94164921888921,63092900,AAPL
